frame,frequency_score
frame_0004.png,0.8570293666184869
frame_0005.png,0.8572001786077122
frame_0006.png,0.8568264069220201
frame_0007.png,0.8564535601881751
frame_0008.png,0.8557617398317195
frame_0009.png,0.855251221026564
frame_0010.png,0.8544425284578304
frame_0011.png,0.8538359223048423
frame_0012.png,0.8540106636972532
frame_0013.png,0.8541805674452101
frame_0014.png,0.8538929582323047
frame_0015.png,0.8533847007052067
frame_0016.png,0.8532430122567288
frame_0017.png,0.853573173002917
frame_0018.png,0.8536393961416787
frame_0019.png,0.853692592408632
frame_0020.png,0.8533154571806832
frame_0021.png,0.8535626086164493
frame_0022.png,0.8538576277911293
frame_0023.png,0.8539229641962223
frame_0024.png,0.8541495756731059
frame_0025.png,0.8542148434007006
frame_0128.png,0.8517331953273573
frame_0129.png,0.8516152723575661
frame_0131.png,0.8529879708845277
frame_0132.png,0.8527920818897452
frame_0295.png,0.8539152159563276
frame_0296.png,0.8539177009513256
frame_0297.png,0.8540058202746948
frame_0300.png,0.8548150679484197
frame_0301.png,0.8547587928318977
frame_0305.png,0.8545714967432206
frame_0306.png,0.8544299736531199
frame_0307.png,0.8547011836914541
frame_0327.png,0.8548035734187597
frame_0328.png,0.8549674906523602
frame_0329.png,0.855353213698409
frame_0337.png,0.855087135861389
frame_0338.png,0.8547684598155489
frame_0339.png,0.8548111847659591
frame_0340.png,0.8548375547031419
frame_0346.png,0.8541364550727076
frame_0347.png,0.8543985156288513
frame_0348.png,0.8547415972478786
frame_0350.png,0.8545881214273695
frame_0351.png,0.8549523366027566
frame_0352.png,0.8552217109127767
frame_0386.png,0.8552979418757228
frame_0387.png,0.8553233522697097
